index,User_ID,Age,Weight,Dietary_Perferences,Recommended_Calories
0,user_1,44,81.1,Balanced,3074
1,user_2,32,106.71,Vegetarian,3258
2,user_3,33,60.27,Vegetarian,2698
3,user_4,59,117.13,Keto,3541
4,user_5,20,50.8,Keto,2744
5,user_6,65,58.95,Keto,2142
6,user_7,31,69.15,Vegetarian,2264
7,user_8,22,84.57,Balanced,3046
8,user_9,36,109.92,Mediterranean,2323
9,user_10,51,95.56,Mediterranean,3125
10,user_11,60,98.49,Balanced,3363
11,user_12,64,73.59,Keto,2501
12,user_13,30,111.88,Vegetarian,2420
13,user_14,25,62.41,Vegan,2793
14,user_15,45,97.37,Keto,2577
15,user_16,38,96.02,Vegetarian,2301
16,user_17,24,102.33,Balanced,3039
17,user_18,33,73.66,Mediterranean,2419
18,user_19,62,111.5,Vegan,3394
19,user_20,45,86.34,Vegetarian,2734
20,user_21,32,58.17,Balanced,2361
21,user_22,65,67.44,Keto,2236
22,user_23,20,92.63,Mediterranean,2156
23,user_24,61,111.11,Keto,2722
24,user_25,47,75.04,Mediterranean,1841
25,user_26,48,111.81,Balanced,2346
26,user_27,51,70.52,Mediterranean,2038
27,user_28,47,115.07,Vegan,3934
28,user_29,54,63.08,Mediterranean,2577
29,user_30,43,108.3,Vegetarian,2294
30,user_31,56,76.98,Vegan,2771
31,user_32,46,89.99,Vegetarian,3397
32,user_33,44,116.03,Vegan,3793
33,user_34,19,81.2,Mediterranean,2775
34,user_35,60,119.2,Keto,3029
35,user_36,62,55.23,Keto,2267
36,user_37,61,53.01,Balanced,1700
37,user_38,59,91.39,Vegetarian,2443
38,user_39,39,91.15,Keto,2140
39,user_40,36,70.7,Keto,2913
40,user_41,55,57.17,Mediterranean,2196
41,user_42,53,85.23,Keto,2753
42,user_43,39,76.25,Balanced,2922
43,user_44,57,86.14,Vegan,2703
44,user_45,39,78.78,Keto,2034
45,user_46,44,118.22,Keto,3769
46,user_47,36,98.76,Mediterranean,2734
47,user_48,60,114.91,Mediterranean,3435
48,user_49,28,118.45,Balanced,2651
49,user_50,50,117.13,Balanced,3342
50,user_51,29,97.37,Vegan,2954
51,user_52,62,100.87,Balanced,3503
52,user_53,59,81.65,Mediterranean,2032
53,user_54,21,69.51,Mediterranean,2303
54,user_55,19,52.75,Mediterranean,2726
55,user_56,54,84.79,Keto,2513
56,user_57,53,61.63,Mediterranean,2052
57,user_58,49,58.62,Vegan,2474
58,user_59,57,104.86,Keto,2426
59,user_60,59,75.14,Vegetarian,2852
60,user_61,58,67.48,Mediterranean,2540
61,user_62,20,62.77,Vegan,2294
62,user_63,49,91.9,Balanced,2311
63,user_64,50,115.96,Vegan,3258
64,user_65,40,55.04,Keto,2615
65,user_66,56,97.06,Vegetarian,2694
66,user_67,49,87.74,Vegetarian,3004
67,user_68,28,75.24,Mediterranean,2570
68,user_69,37,97.17,Vegetarian,2765
69,user_70,54,77.19,Vegetarian,2028
70,user_71,50,96.25,Mediterranean,2934
71,user_72,23,83.34,Balanced,2214
72,user_73,60,63.95,Vegetarian,1813
73,user_74,50,79.87,Mediterranean,2360
74,user_75,23,77.26,Vegetarian,2852
75,user_76,54,71.85,Vegetarian,2462
76,user_77,21,73.92,Keto,2829
77,user_78,18,98.46,Keto,3581
78,user_79,31,94.73,Keto,2479
79,user_80,56,65.06,Balanced,2547
80,user_81,38,83.14,Vegan,2597
81,user_82,18,87.52,Vegan,2338
82,user_83,46,92.87,Mediterranean,2649
83,user_84,45,60.61,Vegan,1830
84,user_85,48,52.09,Vegan,2372
85,user_86,23,64.73,Vegan,2709
86,user_87,50,117.46,Balanced,2380
87,user_88,46,70.78,Vegetarian,2630
88,user_89,64,88.65,Vegan,2676
89,user_90,48,95.96,Mediterranean,3326
90,user_91,50,64.01,Vegetarian,2963
91,user_92,20,66.44,Mediterranean,2139
92,user_93,22,92.27,Balanced,3069
93,user_94,40,87.15,Balanced,3469
94,user_95,56,73.95,Vegetarian,2407
95,user_96,55,85.64,Keto,2058
96,user_97,28,92.26,Vegan,2627
97,user_98,53,112.3,Vegetarian,3290
98,user_99,42,68.06,Keto,2244
99,user_100,52,69.31,Mediterranean,2342
